date,commits,self_review,waiting_first_review_staff,waiting_first_review_total,waiting_first_review_volunteer,waiting_plus2_staff,waiting_plus2_total,waiting_plus2_volunteer
2012/07/20,set([15985L, 16059L, 15740L]),0,0,0,3,3,0,0,0
2012/07/21,set([15985L, 16059L, 15740L]),0,0,0,3,3,0,0,0
2012/07/22,set([15985L, 16059L, 15740L]),0,0,0,3,3,0,0,0
2012/07/23,set([]),1,0,0,0,0,0,0,0
2012/07/24,set([]),3,1,0,0,0,0,0,0
2012/07/25,set([]),4,2,0,0,0,0,0,0
2012/07/26,set([]),6,1,0,0,0,0,0,0
2012/07/27,set([]),9,7,0,0,0,0,0,0
2012/07/28,set([16885L]),7,4,0,1,1,0,0,0
2012/07/29,set([16885L]),0,0,0,1,1,0,0,0
2012/07/30,set([]),7,7,0,0,0,0,0,0
2012/07/31,set([]),9,5,0,0,0,0,0,0
2012/08/01,set([]),11,7,0,0,0,0,0,0
2012/08/02,set([]),1,1,0,0,0,0,0,0
2012/08/03,set([]),3,0,0,0,0,0,0,0
2012/08/04,set([17646L]),1,1,0,1,1,0,0,0
2012/08/05,set([17646L]),1,0,0,1,1,0,0,0
2012/08/06,set([]),1,0,0,0,0,0,0,0
2012/08/07,set([]),1,0,0,0,0,0,0,0
2012/08/08,set([]),1,0,0,0,0,0,0,0
2012/08/09,set([18257L]),2,0,0,1,1,0,0,0
2012/08/10,set([18257L]),1,0,0,1,1,0,0,0
2012/08/11,set([]),2,0,0,0,0,0,0,0
2012/08/12,set([]),1,0,0,0,0,0,0,0
2012/08/13,set([]),1,0,0,0,0,0,0,0
2012/08/14,set([]),1,0,0,0,0,0,0,0
