date,commits,self_review,waiting_first_review_staff,waiting_first_review_total,waiting_first_review_volunteer,waiting_plus2_staff,waiting_plus2_total,waiting_plus2_volunteer
2012/02/25,0,0,0,0,0,0,0,0
2012/02/26,0,0,0,0,0,1,1,0
2012/02/27,1,0,0,0,0,1,1,0
2012/02/28,3,0,0,0,0,0,0,0
2012/02/29,0,0,0,0,0,0,0,0
2012/03/01,0,0,0,0,0,0,0,0
2012/03/02,0,0,0,0,0,0,0,0
2012/03/03,0,0,0,0,0,0,0,0
2012/03/04,0,0,0,0,0,0,0,0
2012/03/05,0,0,0,0,0,0,0,0
2012/03/06,0,0,0,0,0,0,0,0
2012/03/07,0,0,0,0,0,0,0,0
2012/03/08,0,0,0,0,0,0,0,0
2012/03/09,0,0,0,0,0,0,0,0
2012/03/10,0,0,0,0,0,0,0,0
2012/03/11,0,0,0,0,0,0,0,0
2012/03/12,0,0,0,0,0,0,0,0
2012/03/13,0,0,0,0,0,0,0,0
2012/03/14,0,0,0,0,0,0,0,0
2012/03/15,0,0,0,0,0,0,0,0
2012/03/16,0,0,0,0,0,0,0,0
2012/03/17,0,0,0,0,0,0,0,0
2012/03/18,0,0,0,0,0,0,0,0
2012/03/19,0,0,0,0,0,0,0,0
2012/03/20,0,0,0,0,0,2,2,0
2012/03/21,44,0,7,7,0,5,8,3
2012/03/22,14,0,9,13,4,8,17,9
2012/03/23,16,1,6,11,5,4,8,4
2012/03/24,8,0,4,11,7,0,0,0
2012/03/25,7,0,5,12,7,5,22,17
2012/03/26,24,2,5,11,6,4,13,9
2012/03/27,12,2,4,11,7,2,7,5
2012/03/28,15,0,5,17,12,4,11,7
2012/03/29,11,0,5,18,13,1,9,8
2012/03/30,17,0,7,25,18,0,12,12
2012/03/31,10,0,7,27,20,0,7,7
2012/04/01,8,0,7,33,26,6,22,16
2012/04/02,20,1,5,29,24,9,31,22
2012/04/03,25,4,5,23,18,14,27,13
2012/04/04,16,3,5,21,16,8,21,13
2012/04/05,20,1,5,21,16,15,26,11
2012/04/06,19,1,6,21,15,19,28,9
2012/04/07,37,0,12,32,20,1,5,4
2012/04/08,5,0,12,35,23,7,20,13
2012/04/09,7,0,7,24,17,10,24,14
2012/04/10,22,1,9,27,18,7,15,8
2012/04/11,17,1,13,31,18,4,13,9
2012/04/12,10,0,14,32,18,7,14,7
2012/04/13,12,2,14,33,19,1,6,5
2012/04/14,12,2,17,41,24,6,10,4
2012/04/15,10,1,17,44,27,6,19,13
2012/04/16,20,0,17,45,28,12,20,8
2012/04/17,24,0,22,52,30,12,20,8
2012/04/18,6,1,18,49,31,11,21,10
2012/04/19,9,3,16,46,30,15,30,15
2012/04/20,18,2,15,44,29,9,20,11
2012/04/21,8,0,15,46,31,5,16,11
2012/04/22,6,0,15,48,33,7,19,12
